"","SUMLEV","STATE","COUNTY","TRACT","PUMA","CenTrN","GEOID10","AFFGEOID10","CLASS","SEXLEVEL","SEX","DIS","CDF","Range0","Range1"
"120",140,24,3,"702701",1204,40,24003702701,"1400000US24003702701",2,"Female",2291,0.475804776739356,1,0.524195699065421,1
"121",140,24,3,"702702",1204,41,24003702702,"1400000US24003702702",0,"Total",3857,0,0,0,0
"122",140,24,3,"702702",1204,41,24003702702,"1400000US24003702702",1,"Male",1879,0.48716619134042,0.48716619134042,0,0.487166704174229
"123",140,24,3,"702702",1204,41,24003702702,"1400000US24003702702",2,"Female",1978,0.51283380865958,1,0.487166704174229,1
"124",140,24,3,"706101",1204,42,24003706101,"1400000US24003706101",0,"Total",3686,0,0,0,0
"125",140,24,3,"706101",1204,42,24003706101,"1400000US24003706101",1,"Male",1770,0.480195333695062,0.480195333695062,0,0.480195853499729
"126",140,24,3,"706101",1204,42,24003706101,"1400000US24003706101",2,"Female",1916,0.519804666304938,1,0.480195853499729,1
"127",140,24,3,"706301",1204,43,24003706301,"1400000US24003706301",0,"Total",4663,0,0,0,0
"128",140,24,3,"706301",1204,43,24003706301,"1400000US24003706301",1,"Male",2029,0.435127600257345,0.435127600257345,0,0.435128165129745
"129",140,24,3,"706301",1204,43,24003706301,"1400000US24003706301",2,"Female",2634,0.564872399742655,1,0.435128165129745,1
"130",140,24,3,"706302",1204,44,24003706302,"1400000US24003706302",0,"Total",3224,0,0,0,0
"131",140,24,3,"706302",1204,44,24003706302,"1400000US24003706302",1,"Male",1564,0.485111662531017,0.485111662531017,0,0.485112177419355
"132",140,24,3,"706302",1204,44,24003706302,"1400000US24003706302",2,"Female",1660,0.514888337468983,1,0.485112177419355,1
"133",140,24,3,"706401",1204,45,24003706401,"1400000US24003706401",0,"Total",6442,0,0,0,0
"134",140,24,3,"706401",1204,45,24003706401,"1400000US24003706401",1,"Male",3251,0.50465693883887,0.50465693883887,0,0.504657434181931
"135",140,24,3,"706401",1204,45,24003706401,"1400000US24003706401",2,"Female",3191,0.49534306116113,1,0.504657434181931,1
"136",140,24,3,"706402",1204,46,24003706402,"1400000US24003706402",0,"Total",3210,0,0,0,0
"137",140,24,3,"706402",1204,46,24003706402,"1400000US24003706402",1,"Male",1513,0.471339563862928,0.471339563862928,0,0.471340092523364
"138",140,24,3,"706402",1204,46,24003706402,"1400000US24003706402",2,"Female",1697,0.528660436137072,1,0.471340092523364,1
"139",140,24,3,"706500",1204,47,24003706500,"1400000US24003706500",0,"Total",5222,0,0,0,0
"140",140,24,3,"706500",1204,47,24003706500,"1400000US24003706500",1,"Male",2602,0.498276522405209,0.498276522405209,0,0.498277024128686
"141",140,24,3,"706500",1204,47,24003706500,"1400000US24003706500",2,"Female",2620,0.501723477594791,1,0.498277024128686,1
"142",140,24,3,"706600",1204,48,24003706600,"1400000US24003706600",0,"Total",4591,0,0,0,0
"143",140,24,3,"706600",1204,48,24003706600,"1400000US24003706600",1,"Male",2210,0.481376606403834,0.481376606403834,0,0.481377125027227
"144",140,24,3,"706600",1204,48,24003706600,"1400000US24003706600",2,"Female",2381,0.518623393596166,1,0.481377125027227,1
"145",140,24,3,"706700",1204,49,24003706700,"1400000US24003706700",0,"Total",4890,0,0,0,0
"146",140,24,3,"706700",1204,49,24003706700,"1400000US24003706700",1,"Male",3746,0.766053169734151,0.766053169734151,0,0.766053403680982
"147",140,24,3,"706700",1204,49,24003706700,"1400000US24003706700",2,"Female",1144,0.233946830265849,1,0.766053403680982,1
"148",140,24,3,"707001",1204,50,24003707001,"1400000US24003707001",0,"Total",6082,0,0,0,0
"149",140,24,3,"707001",1204,50,24003707001,"1400000US24003707001",1,"Male",3082,0.506741203551463,0.506741203551463,0,0.50674169681026
"150",140,24,3,"707001",1204,50,24003707001,"1400000US24003707001",2,"Female",3000,0.493258796448537,1,0.50674169681026,1
"151",140,24,3,"707002",1204,51,24003707002,"1400000US24003707002",0,"Total",4696,0,0,0,0
"152",140,24,3,"707002",1204,51,24003707002,"1400000US24003707002",1,"Male",2318,0.493611584327087,0.493611584327087,0,0.493612090715503
"153",140,24,3,"707002",1204,51,24003707002,"1400000US24003707002",2,"Female",2378,0.506388415672913,1,0.493612090715503,1
"154",140,24,3,"708001",1204,52,24003708001,"1400000US24003708001",0,"Total",3873,0,0,0,0
"155",140,24,3,"708001",1204,52,24003708001,"1400000US24003708001",1,"Male",1907,0.492383165504777,0.492383165504777,0,0.492383673121611
"156",140,24,3,"708001",1204,52,24003708001,"1400000US24003708001",2,"Female",1966,0.507616834495223,1,0.492383673121611,1
"157",140,24,3,"708004",1204,53,24003708004,"1400000US24003708004",0,"Total",5485,0,0,0,0
"158",140,24,3,"708004",1204,53,24003708004,"1400000US24003708004",1,"Male",2713,0.494621695533273,0.494621695533273,0,0.494622200911577
"159",140,24,3,"708004",1204,53,24003708004,"1400000US24003708004",2,"Female",2772,0.505378304466727,1,0.494622200911577,1
"160",140,24,3,"730100",1202,54,24003730100,"1400000US24003730100",0,"Total",7451,0,0,0,0
"161",140,24,3,"730100",1202,54,24003730100,"1400000US24003730100",1,"Male",3720,0.499261844047779,0.499261844047779,0,0.499262344785935
"162",140,24,3,"730100",1202,54,24003730100,"1400000US24003730100",2,"Female",3731,0.500738155952221,1,0.499262344785935,1
"163",140,24,3,"730203",1202,55,24003730203,"1400000US24003730203",0,"Total",5303,0,0,0,0
"164",140,24,3,"730203",1202,55,24003730203,"1400000US24003730203",1,"Male",2562,0.48312276070149,0.48312276070149,0,0.483123277578729
"165",140,24,3,"730203",1202,55,24003730203,"1400000US24003730203",2,"Female",2741,0.51687723929851,1,0.483123277578729,1
"166",140,24,3,"730204",1202,56,24003730204,"1400000US24003730204",0,"Total",5723,0,0,0,0
"167",140,24,3,"730204",1202,56,24003730204,"1400000US24003730204",1,"Male",2744,0.479468810064651,0.479468810064651,0,0.479469330595841
"168",140,24,3,"730204",1202,56,24003730204,"1400000US24003730204",2,"Female",2979,0.520531189935349,1,0.479469330595841,1
"169",140,24,3,"730300",1202,57,24003730300,"1400000US24003730300",0,"Total",3113,0,0,0,0
"170",140,24,3,"730300",1202,57,24003730300,"1400000US24003730300",1,"Male",1572,0.504979119820109,0.504979119820109,0,0.504979614840989
"171",140,24,3,"730300",1202,57,24003730300,"1400000US24003730300",2,"Female",1541,0.495020880179891,1,0.504979614840989,1
"172",140,24,3,"730401",1202,58,24003730401,"1400000US24003730401",0,"Total",4745,0,0,0,0
"173",140,24,3,"730401",1202,58,24003730401,"1400000US24003730401",1,"Male",2390,0.503688092729189,0.503688092729189,0,0.503688589041096
"174",140,24,3,"730401",1202,58,24003730401,"1400000US24003730401",2,"Female",2355,0.496311907270811,1,0.503688589041096,1
"175",140,24,3,"730402",1202,59,24003730402,"1400000US24003730402",0,"Total",6136,0,0,0,0
"176",140,24,3,"730402",1202,59,24003730402,"1400000US24003730402",1,"Male",3069,0.5001629726206,0.5001629726206,0,0.500163472457627
"177",140,24,3,"730402",1202,59,24003730402,"1400000US24003730402",2,"Female",3067,0.4998370273794,1,0.500163472457627,1
"178",140,24,3,"730502",1203,60,24003730502,"1400000US24003730502",0,"Total",6327,0,0,0,0
"179",140,24,3,"730502",1203,60,24003730502,"1400000US24003730502",1,"Male",3023,0.477793583056741,0.477793583056741,0,0.477794105263158
"180",140,24,3,"730502",1203,60,24003730502,"1400000US24003730502",2,"Female",3304,0.522206416943259,1,0.477794105263158,1
"181",140,24,3,"730504",1203,61,24003730504,"1400000US24003730504",0,"Total",7630,0,0,0,0
"182",140,24,3,"730504",1203,61,24003730504,"1400000US24003730504",1,"Male",3644,0.477588466579292,0.477588466579292,0,0.477588988990826
"183",140,24,3,"730504",1203,61,24003730504,"1400000US24003730504",2,"Female",3986,0.522411533420708,1,0.477588988990826,1
"184",140,24,3,"730505",1203,62,24003730505,"1400000US24003730505",0,"Total",4599,0,0,0,0
"185",140,24,3,"730505",1203,62,24003730505,"1400000US24003730505",1,"Male",2164,0.470537073276799,0.470537073276799,0,0.470537602739726
"186",140,24,3,"730505",1203,62,24003730505,"1400000US24003730505",2,"Female",2435,0.529462926723201,1,0.470537602739726,1
"187",140,24,3,"730506",1203,63,24003730506,"1400000US24003730506",0,"Total",3888,0,0,0,0
"188",140,24,3,"730506",1203,63,24003730506,"1400000US24003730506",1,"Male",1873,0.481738683127572,0.481738683127572,0,0.481739201388889
"189",140,24,3,"730506",1203,63,24003730506,"1400000US24003730506",2,"Female",2015,0.518261316872428,1,0.481739201388889,1
"190",140,24,3,"730601",1203,64,24003730601,"1400000US24003730601",0,"Total",6846,0,0,0,0
"191",140,24,3,"730601",1203,64,24003730601,"1400000US24003730601",1,"Male",3376,0.493134677183757,0.493134677183757,0,0.49313518404908
"192",140,24,3,"730601",1203,64,24003730601,"1400000US24003730601",2,"Female",3470,0.506865322816243,1,0.49313518404908,1
