"","PUMA","ESRLEVEL","ESR","CLASS","CenTrN","DIS","CDF","Range0","Range1"
"252","1103","ESR2",962,3,32,0.00860919447651265,0.767578596933981,0.758969411066663,0.767578632185142
"253","1103","ESR3",3939,4,32,0.0352511611673423,0.802829758101324,0.767578632185142,0.802829758101324
"254","1103","ESR4",0,5,32,0,0.802829758101324,0.802829758101324,0.802829758101324
"255","1103","ESR5",0,6,32,0,0.802829758101324,0.802829758101324,0.802829955271565
"256","1103","ESR6",22032,7,32,0.197170241898676,1,0.802829955271565,1
"257","1104","Total",111690,0,33,0,0,0,0
"258","1104","ESR0",23654,1,33,0.211782612588414,0.211782612588414,0,0.211783116268242
"259","1104","ESR1",56256,2,33,0.503679828095622,0.715462440684036,0.211783116268242,0.715462462467544
"260","1104","ESR2",2433,3,33,0.0217835079237174,0.737245948607754,0.715462462467544,0.737245983928731
"261","1104","ESR3",3945,4,33,0.035320977706151,0.772566926313905,0.737245983928731,0.772566926313905
"262","1104","ESR4",0,5,33,0,0.772566926313905,0.772566926313905,0.772566926313905
"263","1104","ESR5",0,6,33,0,0.772566926313905,0.772566926313905,0.772567153746978
"264","1104","ESR6",25402,7,33,0.227433073686095,1,0.772567153746978,1
"265","1105","Total",174770,0,34,0,0,0,0
"266","1105","ESR0",32868,1,34,0.188064313097213,0.188064313097213,0,0.188064869846083
"267","1105","ESR1",97303,2,34,0.556748869943354,0.744813183040568,0.188064869846083,0.744813192910683
"268","1105","ESR2",1725,3,34,0.00987011500829662,0.754683298048864,0.744813192910683,0.754683325845397
"269","1105","ESR3",4858,4,34,0.027796532585684,0.782479830634548,0.754683325845397,0.782479832894661
"270","1105","ESR4",395,5,34,0.00226011329175488,0.784739943926303,0.782479832894661,0.784739943926303
"271","1105","ESR5",0,6,34,0,0.784739943926303,0.784739943926303,0.784740159186359
"272","1105","ESR6",37621,7,34,0.215260056073697,1,0.784740159186359,1
"273","1106","Total",128701,0,35,0,0,0,0
"274","1106","ESR0",23752,1,35,0.184551790584378,0.184551790584378,0,0.184552287355965
"275","1106","ESR1",63935,2,35,0.496771586856357,0.681323377440735,0.184552287355965,0.681323385257302
"276","1106","ESR2",1006,3,35,0.00781656708184086,0.689139944522576,0.681323385257302,0.68913998371419
"277","1106","ESR3",5044,4,35,0.0391916146727687,0.728331559195344,0.68913998371419,0.728331571992448
