,X,CensusTrct,INCOME,CLASS,N_return,N_single,N_joint,N_head,N_dpnd,INC,INC_R,DIS,CDF,Range0,Range1
212,1360,24003702205,"$1 under $25,000",1,2870,2390,150,270,620,3580,1048,0.137208693,0.137208693,0,0.137208822
213,1361,24003702205,"$25,000 under $50,000",2,2080,1310,300,390,1060,3360,983,0.128698612,0.265907306,0.137208822,0.265907432
214,1362,24003702205,"$50,000 under $75,000",3,1870,980,440,370,1070,3300,966,0.126472899,0.392380204,0.265907432,0.392380329
215,1363,24003702205,"$75,000 under $100,000",4,1550,590,660,240,1110,3260,954,0.124901807,0.517282011,0.392380329,0.517282373
216,1364,24003702205,"$100,000 under $200,000",5,3430,560,2560,270,3490,9440,2763,0.361743912,0.879025923,0.517282373,0.879026044
217,1365,24003702205,"$200,000 or more",6,1010,40,940,0,1240,3160,925,0.121105001,1.000130924,0.879026044,1
218,12191,24003702206,Total,0,6100,2590,2830,540,3820,38710,5900,0,0,0,0
219,12201,24003702206,"$1 under $25,000",1,1340,1120,90,110,240,5230,809,0.137118644,0.137118644,0,0.137118773
220,12211,24003702206,"$25,000 under $50,000",2,890,560,170,130,400,4790,759,0.128644068,0.265762712,0.137118773,0.265762838
221,12221,24003702206,"$50,000 under $75,000",3,740,410,220,80,290,4520,746,0.126440678,0.39220339,0.265762838,0.392203515
222,12231,24003702206,"$75,000 under $100,000",4,660,240,320,80,400,4620,737,0.124915254,0.517118644,0.392203515,0.517119006
223,12241,24003702206,"$100,000 under $200,000",5,1600,220,1240,110,1480,13730,2134,0.361694915,0.878813559,0.517119006,0.878813681
224,12251,24003702206,"$200,000 or more",6,870,40,790,30,1010,5820,715,0.121186441,1,0.878813681,1
225,11071,24003702208,Total,0,4500,1980,2140,270,2360,47600,6488,0,0,0,0
226,11081,24003702208,"$1 under $25,000",1,1030,860,80,80,190,6520,881,0.135789149,0.135789149,0,0.135789274
227,11091,24003702208,"$25,000 under $50,000",2,690,460,120,70,200,5760,810,0.124845869,0.260635018,0.135789274,0.260635138
228,11101,24003702208,"$50,000 under $75,000",3,550,280,200,40,240,5480,773,0.119143033,0.379778052,0.260635138,0.379778172
229,11111,24003702208,"$75,000 under $100,000",4,450,170,240,30,210,5510,782,0.12053021,0.500308261,0.379778172,0.500308617
