PUMA,GEOID10,POP
1101,24033805201,4270
1101,24033805202,3820
1101,24033805500,3628
1101,24033805601,6201
1101,24033805602,4918
1101,24033805700,6143
1101,24033805801,4401
1101,24033805802,4175
1101,24033805904,3366
1101,24033805906,2820
1101,24033805907,3600
1101,24033805908,2123
1101,24033805909,4261
1101,24033806000,5071
1103,24033806100,4380
1103,24033806200,4012
1103,24033806300,2108
1101,24033806400,3411
1103,24033806501,5151
1103,24033806601,4636
1103,24033806602,4578
1103,24033806706,3755
1102,24033806708,4232
1102,24033806710,5332
1102,24033806711,5146
1102,24033806712,3053
1101,24033806713,3698
1101,24033806714,3623
1101,24033806800,3914
1101,24033806900,4134
1101,24033807000,4906
1103,24033807102,2613
1101,24033807200,15934
1101,24033807301,3289
1102,24033807304,1928
1101,24033807305,3676
1102,24033807404,4977
1102,24033807405,5858
1102,24033807407,6260
1102,24033807408,5729
1102,24033807409,3764
1102,24033807410,3953
1300,24035810100,3089
1300,24035810200,2636
1300,24035810300,4546
1300,24035810400,6053
1300,24035810500,4468
1300,24035810600,4910
1300,24035810700,3939
1300,24035810800,5824
1300,24035810901,4927
1300,24035810902,2945
1300,24035811000,4461
0,24035990000,0
0,24035990100,0
1300,24035990200,0
1500,24037875000,6101
1500,24037875100,5171
1500,24037875201,5135
1500,24037875202,5896
1500,24037875300,3266
1500,24037875400,7037
1500,24037875500,8631
1500,24037875600,8333
1500,24037875700,7470
1500,24037875801,1014
1500,24037875802,4073
1500,24037875901,7280
1500,24037875902,7638
1500,24037876001,4713
1500,24037876002,8714
1500,24037876100,7560
1500,24037876200,7119
0,24037990000,0
1400,24039930101,7472
1400,24039930102,3759
1400,24039930200,1817
1400,24039930300,2539
1400,24039930500,4396
1400,24039930600,3053
1400,24039980400,3434
0,24039990100,0
1300,24041960100,4495
1300,24041960201,4104
1300,24041960300,3371
1300,24041960400,5590
1300,24041960501,4752
1300,24041960502,3833
1300,24041960600,1788
1300,24041960700,3635
1300,24041960800,1920
1300,24041960900,4294
0,24041990000,0
200,24043000100,3168
200,24043000200,3974
200,24043000301,3415
200,24043000302,2742
200,24043000400,2189
200,24043000500,5500
200,24043000601,2410
200,24043000602,3104
200,24043000700,3158
200,24043000800,3466
200,24043000900,3625
200,24043001001,4941
200,24043001002,4024
200,24043010100,1388
200,24043010200,4423
200,24043010300,7454
200,24043010400,7675
200,24043010500,6152
200,24043010600,5033
200,24043010700,3447
200,24043010801,4516
200,24043010802,2506
200,24043010900,8188
200,24043011000,6164
200,24043011100,5926
200,24043011201,8935
200,24043011202,4200
200,24043011301,5195
200,24043011302,3909
200,24043011400,5701
200,24043011500,8006
200,24043011600,2896
1400,24045000100,5630
1400,24045000200,1897
1400,24045000300,1323
1400,24045000400,4095
1400,24045000500,2961
1400,24045010101,6150
1400,24045010102,3226
1400,24045010200,6142
1400,24045010300,7795
1400,24045010400,6987
1400,24045010501,4501
1400,24045010502,8875
1400,24045010603,7143
1400,24045010604,5065
1400,24045010605,4162
1400,24045010606,4200
1400,24045010701,3800
1400,24045010702,8671
1400,24045010800,6110
1400,24047950000,2080
1400,24047950100,1728
1400,24047950300,3294
1400,24047950400,2975
1400,24047950600,3060
1400,24047950700,2389
1400,24047950800,5495
1400,24047950900,2017
1400,24047951000,4402
1400,24047951100,6520
1400,24047951200,3091
1400,24047951300,2816
1400,24047951400,3355
1400,24047951500,4951
1400,24047951700,3281
1400,24047980000,0
0,24047990000,0
804,24510010100,3022
804,24510010200,3009
804,24510010300,2208
804,24510010400,2870
804,24510010500,1724
804,24510020100,1884
804,24510020200,2087
804,24510020300,3344
804,24510030100,3065
804,24510030200,2342
804,24510040100,4006
804,24510040200,838
804,24510060100,3222
804,24510060200,3265
804,24510060300,1800
804,24510060400,1183
804,24510070100,2957
804,24510070200,3782
804,24510070300,1042
804,24510070400,1241
803,24510080101,3881
803,24510080102,2508
804,24510080200,1585
804,24510080301,2084
804,24510080302,2937
804,24510080400,1564
803,24510080500,1704
804,24510080600,2469
804,24510080700,1137
804,24510080800,1281
802,24510090100,4251
803,24510090200,3243
802,24510090300,4203
802,24510090400,1586
802,24510090500,1964
803,24510090600,3402
803,24510090700,3149
802,24510090800,3073
804,24510090900,2452
804,24510100100,2126
804,24510100200,2767
804,24510100300,5237
804,24510110100,3223
804,24510110200,5072
802,24510120100,4790
802,24510120201,2033
802,24510120202,6224
802,24510120300,3552
802,24510120400,1313
804,24510120500,1751
802,24510120600,3269
802,24510120700,2476
802,24510130100,2613
802,24510130200,2775
802,24510130300,2269
802,24510130400,2011
802,24510130600,3586
802,24510130700,5192
802,24510130803,2748
802,24510130804,1955
801,24510130805,985
801,24510130806,1431
802,24510140100,4974
802,24510140200,2853
802,24510140300,2333
801,24510150100,3211
801,24510150200,2699
801,24510150300,2478
801,24510150400,3724
801,24510150500,1543
801,24510150600,3412
801,24510150701,1696
801,24510150702,2359
801,24510150800,4223
801,24510150900,3344
801,24510151000,5214
801,24510151100,6572
801,24510151200,4215
801,24510151300,4546
801,24510160100,2388
801,24510160200,2515
801,24510160300,1558
801,24510160400,2525
801,24510160500,4245
801,24510160600,3509
801,24510160700,5615
805,24510160801,3281
805,24510160802,3045
804,24510170100,1602
802,24510170200,3145
802,24510170300,2011
805,24510180100,2200
805,24510180200,977
805,24510180300,1909
805,24510190100,1895
805,24510190200,1920
805,24510190300,2586
805,24510200100,1846
805,24510200200,2969
805,24510200300,1836
805,24510200400,1691
805,24510200500,3142
805,24510200600,2713
805,24510200701,4619
805,24510200702,1426
805,24510200800,2282
805,24510210100,2130
805,24510210200,3373
804,24510220100,4025
805,24510230100,1953
805,24510230200,2172
805,24510230300,1136
805,24510240100,2699
805,24510240200,2564
805,24510240300,2141
805,24510240400,2571
805,24510250101,3626
805,24510250102,2910
805,24510250103,4050
805,24510250203,2018
