"","CensusTrct","INCOMECLASS","CLASS","INC","INC_R","DIS","CDF","Range0","Range1"
"2699",24013507602,"$50,000 under $75,000",3,2450,2450,0.136948015651202,0.640581330352152,0.503633451648966,0.640581439351593
"2700",24013507602,"$75,000 under $100,000",4,1950,1950,0.108999441028508,0.74958077138066,0.640581439351593,0.749580975405254
"2701",24013507602,"$100,000 under $200,000",5,3650,3650,0.204024594745668,0.953605366126328,0.749580975405254,0.953605412520961
"2702",24013507602,"$200,000 or more",6,830,830,0.0463946338736724,1,0.953605412520961,1
"2703",24013507702,"Total",0,20720,16968,0,0,0,0
"2704",24013507702,"$1 under $25,000",1,6150,5106,0.300919377652051,0.300919377652051,0,0.300919580150872
"2705",24013507702,"$25,000 under $50,000",2,4220,3436,0.202498821310702,0.503418198962753,0.300919580150872,0.50341833592645
"2706",24013507702,"$50,000 under $75,000",3,2850,2324,0.136963696369637,0.64038189533239,0.50341833592645,0.640382004420085
"2707",24013507702,"$75,000 under $100,000",4,2280,1851,0.109087694483734,0.749469589816124,0.640382004420085,0.749469793965111
"2708",24013507702,"$100,000 under $200,000",5,4260,3464,0.204148986327204,0.953618576143329,0.749469793965111,0.953618622524752
"2709",24013507702,"$200,000 or more",6,960,787,0.0463814238566714,1,0.953618622524752,1
"2710",24013507703,"Total",0,10420,10420,0,0,0,0
"2711",24013507703,"$1 under $25,000",1,2880,2880,0.276391554702495,0.276391554702495,0,0.276391752399232
"2712",24013507703,"$25,000 under $50,000",2,2060,2060,0.197696737044146,0.474088291746641,0.276391752399232,0.474088445297505
"2713",24013507703,"$50,000 under $75,000",3,1600,1600,0.153550863723608,0.627639155470249,0.474088445297505,0.627639276391555
"2714",24013507703,"$75,000 under $100,000",4,1260,1260,0.120921305182342,0.748560460652591,0.627639276391555,0.748560665067178
"2715",24013507703,"$100,000 under $200,000",5,2130,2130,0.204414587332054,0.952975047984645,0.748560665067178,0.952975095009597
"2716",24013507703,"$200,000 or more",6,490,490,0.0470249520153551,1,0.952975095009597,1
"2717",24013507704,"Total",0,10420,10420,0,0,0,0
"2718",24013507704,"$1 under $25,000",1,2880,2880,0.276391554702495,0.276391554702495,0,0.276391752399232
"2719",24013507704,"$25,000 under $50,000",2,2060,2060,0.197696737044146,0.474088291746641,0.276391752399232,0.474088445297505
"2720",24013507704,"$50,000 under $75,000",3,1600,1600,0.153550863723608,0.627639155470249,0.474088445297505,0.627639276391555
"2721",24013507704,"$75,000 under $100,000",4,1260,1260,0.120921305182342,0.748560460652591,0.627639276391555,0.748560665067178
"2722",24013507704,"$100,000 under $200,000",5,2130,2130,0.204414587332054,0.952975047984645,0.748560665067178,0.952975095009597
"2723",24013507704,"$200,000 or more",6,490,490,0.0470249520153551,1,0.952975095009597,1
"2724",24013507801,"Total",0,17890,17890,0,0,0,0
"2725",24013507801,"$1 under $25,000",1,5390,5390,0.301285634432644,0.301285634432644,0,0.301285836780324
"2726",24013507801,"$25,000 under $50,000",2,3620,3620,0.202347680268306,0.50363331470095,0.301285836780324,0.503633451648966
"2727",24013507801,"$50,000 under $75,000",3,2450,2450,0.136948015651202,0.640581330352152,0.503633451648966,0.640581439351593
"2728",24013507801,"$75,000 under $100,000",4,1950,1950,0.108999441028508,0.74958077138066,0.640581439351593,0.749580975405254
"2729",24013507801,"$100,000 under $200,000",5,3650,3650,0.204024594745668,0.953605366126328,0.749580975405254,0.953605412520961
"2730",24013507801,"$200,000 or more",6,830,830,0.0463946338736724,1,0.953605412520961,1
"2731",24013507802,"Total",0,17890,17890,0,0,0,0
"2732",24013507802,"$1 under $25,000",1,5390,5390,0.301285634432644,0.301285634432644,0,0.301285836780324
"2733",24013507802,"$25,000 under $50,000",2,3620,3620,0.202347680268306,0.50363331470095,0.301285836780324,0.503633451648966
"2734",24013507802,"$50,000 under $75,000",3,2450,2450,0.136948015651202,0.640581330352152,0.503633451648966,0.640581439351593
"2735",24013507802,"$75,000 under $100,000",4,1950,1950,0.108999441028508,0.74958077138066,0.640581439351593,0.749580975405254
"2736",24013507802,"$100,000 under $200,000",5,3650,3650,0.204024594745668,0.953605366126328,0.749580975405254,0.953605412520961
"2737",24013507802,"$200,000 or more",6,830,830,0.0463946338736724,1,0.953605412520961,1
"2738",24013508101,"Total",0,7740,7740,0,0,0,0
"2739",24013508101,"$1 under $25,000",1,2150,2150,0.277777777777778,0.277777777777778,0,0.277777972868217
"2740",24013508101,"$25,000 under $50,000",2,1510,1510,0.195090439276486,0.472868217054264,0.277777972868217,0.472868372093023
"2741",24013508101,"$50,000 under $75,000",3,1200,1200,0.155038759689922,0.627906976744186,0.472868372093023,0.627907094315245
"2742",24013508101,"$75,000 under $100,000",4,910,910,0.117571059431525,0.745478036175711,0.627907094315245,0.745478246770026
"2743",24013508101,"$100,000 under $200,000",5,1630,1630,0.210594315245478,0.956072351421189,0.745478246770026,0.956072395348837
