"","SUMLEV","STATE","COUNTY","TRACT","PUMA","CenTrN","GEOID10","AFFGEOID10","CLASS","HHTLEVEL","HHT","DIS","CDF","Range0","Range1"
"165",140,24,1,2000,100,21,"24001002000","1400000US24001002000",4,"NonfMalone",231,0.100565955594253,0.802786242925555,0.702220387897257,0.802786267740531
"166",140,24,1,2000,100,21,"24001002000","1400000US24001002000",5,"NonfMNalone",57,0.0248149760557249,0.82760121898128,0.802786267740531,0.827601369612538
"167",140,24,1,2000,100,21,"24001002000","1400000US24001002000",6,"NonfFalone",346,0.150631258162821,0.978232477144101,0.827601369612538,0.978232498911624
"168",140,24,1,2000,100,21,"24001002000","1400000US24001002000",7,"NonfFNalone",50,0.021767522855899,1,0.978232498911624,1
"169",140,24,1,2100,100,22,"24001002100","1400000US24001002100",0,"Total",1400,0,0,0,0
"170",140,24,1,2100,100,22,"24001002100","1400000US24001002100",1,"MarriedFamilyHH",722,0.515714285714286,0.515714285714286,0,0.515714336428571
"171",140,24,1,2100,100,22,"24001002100","1400000US24001002100",2,"OthMale",71,0.0507142857142857,0.566428571428571,0.515714336428571,0.566428692142857
"172",140,24,1,2100,100,22,"24001002100","1400000US24001002100",3,"OthFemale",169,0.120714285714286,0.687142857142857,0.566428692142857,0.687142982857143
"173",140,24,1,2100,100,22,"24001002100","1400000US24001002100",4,"NonfMalone",176,0.125714285714286,0.812857142857143,0.687142982857143,0.812857162857143
"174",140,24,1,2100,100,22,"24001002100","1400000US24001002100",5,"NonfMNalone",28,0.02,0.832857142857143,0.812857162857143,0.832857292857143
"175",140,24,1,2100,100,22,"24001002100","1400000US24001002100",6,"NonfFalone",210,0.15,0.982857142857143,0.832857292857143,0.98285716
"176",140,24,1,2100,100,22,"24001002100","1400000US24001002100",7,"NonfFNalone",24,0.0171428571428571,1,0.98285716,1
"177",140,24,1,2200,100,23,"24001002200","1400000US24001002200",0,"Total",1614,0,0,0,0
"178",140,24,1,2200,100,23,"24001002200","1400000US24001002200",1,"MarriedFamilyHH",843,0.522304832713755,0.522304832713754,0,0.522304885377943
"179",140,24,1,2200,100,23,"24001002200","1400000US24001002200",2,"OthMale",85,0.0526641883519207,0.574969021065675,0.522304885377943,0.5749691133829
"180",140,24,1,2200,100,23,"24001002200","1400000US24001002200",3,"OthFemale",149,0.0923172242874845,0.66728624535316,0.5749691133829,0.667286372986369
