SUMLEV,STATE,COUNTY,TRACT,PUMA,CenTrN,GEOID10,AFFGEOID10,CLASS,NPLEVEL,NP,DIS,CDF,Range0,Range1
140,24,3,702100,1204,29,24003702100,1400000US24003702100,3,three,479,0.183595247,0.767727099,0.584132035,0.767727249
140,24,3,702100,1204,29,24003702100,1400000US24003702100,4,four,393,0.150632426,0.918359525,0.767727249,0.91835958
140,24,3,702100,1204,29,24003702100,1400000US24003702100,5,five,143,0.054810272,0.973169797,0.91835958,0.973169813
140,24,3,702100,1204,29,24003702100,1400000US24003702100,6,six,42,0.016098122,0.989267919,0.973169813,0.989267929
140,24,3,702100,1204,29,24003702100,1400000US24003702100,7,sevenPlus,28,0.010732081,1,0.989267929,1
140,24,3,702204,1201,30,24003702204,1400000US24003702204,0,Total,1525,0,0,0,0
140,24,3,702204,1201,30,24003702204,1400000US24003702204,1,one,250,0.163934426,0.163934426,0,0.163934797
140,24,3,702204,1201,30,24003702204,1400000US24003702204,2,two,566,0.371147541,0.535081967,0.163934797,0.535082148
140,24,3,702204,1201,30,24003702204,1400000US24003702204,3,three,275,0.180327869,0.715409836,0.535082148,0.715410018
140,24,3,702204,1201,30,24003702204,1400000US24003702204,4,four,277,0.181639344,0.89704918,0.715410018,0.897049254
140,24,3,702204,1201,30,24003702204,1400000US24003702204,5,five,113,0.074098361,0.971147541,0.897049254,0.971147559
140,24,3,702204,1201,30,24003702204,1400000US24003702204,6,six,27,0.017704918,0.988852459,0.971147559,0.98885247
140,24,3,702204,1201,30,24003702204,1400000US24003702204,7,sevenPlus,17,0.011147541,1,0.98885247,1
140,24,3,702205,1201,31,24003702205,1400000US24003702205,0,Total,2302,0,0,0,0
140,24,3,702205,1201,31,24003702205,1400000US24003702205,1,one,709,0.30799305,0.30799305,0,0.30799339
140,24,3,702205,1201,31,24003702205,1400000US24003702205,2,two,783,0.34013901,0.648132059,0.30799339,0.648132225
140,24,3,702205,1201,31,24003702205,1400000US24003702205,3,three,383,0.166377063,0.814509123,0.648132225,0.814509244
140,24,3,702205,1201,31,24003702205,1400000US24003702205,4,four,279,0.121198957,0.93570808,0.814509244,0.935708131
140,24,3,702205,1201,31,24003702205,1400000US24003702205,5,five,118,0.051259774,0.986967854,0.935708131,0.986967863
